zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
20266;22.52;34.4;40.4;317.2;44.9898
20465;22.69;34.2;40.1;317.7;44.9897
20665;22.60;34.3;39.9;318.2;44.9896
20865;22.76;34.3;39.6;317.8;44.9895
21067;23.29;34.1;39.4;318.2;44.9894
21267;23.07;34;39.7;317.6;44.9893
21468;23.40;34;39.8;318.3;44.9892
21667;23.48;34.2;39.4;318.9;44.9891
21867;23.74;34.3;39.4;319.2;44.9890
22068;23.75;34.1;39.5;319.3;44.9889
22268;23.96;33.9;39.7;319.7;44.9888
22469;23.84;33.9;39.6;320.2;44.9887
22669;26.10;33.9;39.6;320.8;44.9886
22870;27.84;34;39.3;321.2;44.9885
23074;28.95;34;39.3;320.8;44.9884
23279;30.79;33.9;39.4;320.9;44.9883
23475;31.82;34.1;39.3;320.6;44.9882
23673;32.71;34.1;39.0;320.6;44.9881
23875;32.72;34.3;39.3;320.7;44.9881
24073;34.04;34.1;39.3;321.3;44.9880
24276;34.23;34.3;39.2;320.8;44.9879
24475;34.02;34.3;39.4;321.2;44.9878
24675;34.03;34.4;39.6;320.5;44.9877
24876;35.24;34.4;39.3;320.9;44.9876
