zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
156597;60;39;32;56;46.1
157032;43;40;36;53.8;46.1
157852;71;30;32;49.4;46.3
159220;71;47;27;57.7;46.5
160093;74;41;42;55.1;46.8
160996;23;47;32;46.1;47.1
161824;20;35;41;59.6;47.2
163622;74;38;30;57.9;46.9
163923;40;43;44;41.7;47.0
164804;38;38;26;42.8;46.8
166687;64;33;32;49.2;46.5
166921;77;42;41;43.4;46.7
167829;65;43;28;52.3;46.3
169561;26;45;38;52.5;46.4
169952;76;48;30;40.1;46.7
170769;62;40;36;50.7;46.9
