zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
18033;27.83;34.2;36.8;308.3;44.9712
18232;27.06;34.1;36.7;307.9;44.9711
18431;26.50;34.3;36.4;308.1;44.9711
18631;26.49;34.2;36.1;308.3;44.9710
18832;25.99;34.5;36.0;307.8;44.9709
19033;25.73;34.4;36.2;307.6;44.9708
19236;25.11;34.5;36.5;307.5;44.9707
19435;25.23;34.5;36.6;307.4;44.9707
19636;25.09;34.5;36.4;307.2;44.9706
19834;24.79;34.7;36.7;307.7;44.9705
20036;26.23;34.9;36.3;307.7;44.9704
20236;28.10;35;36.3;308.3;44.9703
20436;28.99;34.9;36.4;308.3;44.9702
20636;30.83;35;36.6;308.7;44.9702
20837;31.53;35;36.5;308.5;44.9701
21036;31.95;34.7;36.7;308.4;44.9700
21237;32.89;34.5;37.0;308.8;44.9699
21436;33.66;34.3;37.4;309.4;44.9698
21636;34.10;34.5;37.1;309.3;44.9697
21837;35.20;34.6;37.2;309.0;44.9697
22038;36.10;34.7;37.1;309.0;44.9696
22240;36.62;34.7;37.5;308.3;44.9695
22441;37.67;34.8;37.5;308.5;44.9694
22640;37.24;35;37.9;308.3;44.9693
22841;38.01;34.9;37.5;307.8;44.9692
23041;38.72;34.9;37.4;307.3;44.9691
23241;38.05;34.9;37.0;307.8;44.9690
23441;38.62;34.9;37.1;308.2;44.9689
23641;38.87;35.2;37.3;308.4;44.9689
23842;36.96;35;36.9;309.0;44.9688
24041;35.20;34.9;37.3;308.4;44.9687
24242;34.18;34.7;37.2;309.1;44.9686
24441;33.18;34.7;37.2;309.3;44.9685
24640;31.86;34.6;37.6;309.6;44.9684
24841;30.81;34.4;37.5;309.2;44.9683
25044;29.54;34.6;37.7;309.4;44.9682
25242;28.60;34.7;37.9;309.9;44.9681
25443;27.88;34.7;38.1;310.3;44.9681
25642;29.06;34.6;38.2;309.7;44.9680
25843;30.55;34.5;38.3;310.2;44.9679
26045;31.65;34.6;38.5;310.4;44.9678
26242;33.00;34.3;38.9;310.3;44.9677
26447;33.43;34.1;38.8;310.8;44.9676
26642;33.38;34.1;38.5;310.6;44.9675
26842;33.83;34;38.6;310.8;44.9675
27043;33.72;34.2;38.7;311.2;44.9674
27243;33.60;34.4;38.5;310.9;44.9673
27443;34.74;34.5;38.5;310.9;44.9672
27645;34.98;34.6;38.2;310.9;44.9671
27844;34.96;34.4;37.8;310.6;44.9670
28044;35.86;34.4;37.5;310.0;44.9669
28243;35.65;34.2;37.1;310.5;44.9669
28443;35.38;34.1;36.9;310.0;44.9668
28642;36.11;34.1;36.6;309.9;44.9667
28843;35.97;34.3;36.3;310.2;44.9666
29043;35.74;34.4;36.4;310.4;44.9665
29245;36.43;34.6;36.1;310.4;44.9665
29444;37.10;34.8;35.7;309.8;44.9664
29646;36.79;34.7;35.5;310.2;44.9663
29846;36.60;34.7;35.3;309.6;44.9662
30046;37.09;34.7;35.6;309.5;44.9661
30247;38.07;34.8;35.7;309.8;44.9661
30446;38.06;35;36.0;310.0;44.9660
30646;38.81;34.8;36.0;310.0;44.9659
30848;38.37;34.7;35.7;310.2;44.9658
31048;37.96;34.8;35.5;310.2;44.9657
31249;38.40;35;35.7;310.6;44.9657
31448;38.85;35;35.3;310.6;44.9656
31648;39.68;34.9;35.6;310.7;44.9655
31849;40.32;34.7;35.5;311.2;44.9654
32050;41.01;34.9;35.9;311.7;44.9653
32251;41.43;35;35.7;311.1;44.9652
32452;39.78;34.8;35.8;310.6;44.9652
32651;38.27;34.8;35.9;310.1;44.9651
32852;37.10;34.5;35.7;309.5;44.9650
33696;35.74;34.5;35.9;309.4;44.9649
34247;34.93;34.3;35.9;309.8;44.9648
34247;33.67;34.5;35.7;310.1;44.9648
34247;32.56;34.4;36.0;310.5;44.9647
34247;31.33;34.2;35.9;310.8;44.9646
34247;31.61;34.2;35.6;310.5;44.9645
34319;33.23;34;35.4;310.5;44.9645
34459;33.48;33.9;35.1;310.0;44.9644
34659;34.30;33.8;35.4;309.6;44.9643
34874;35.64;34;35.4;310.0;44.9642
35063;36.27;33.9;35.2;309.4;44.9641
35258;36.68;34;35.6;309.8;44.9641
35460;36.89;33.8;35.5;310.3;44.9640
35671;37.24;33.7;35.7;309.8;44.9639
35863;37.30;33.5;35.6;310.1;44.9638
36061;38.03;33.7;35.7;309.5;44.9638
36263;38.85;33.5;35.4;309.7;44.9637
36464;39.34;33.4;35.1;309.2;44.9636
36664;39.06;33.5;34.9;309.6;44.9636
36862;39.92;33.5;34.8;310.0;44.9635
37063;40.06;33.5;35.1;309.4;44.9634
37311;39.87;33.6;34.9;309.5;44.9634
37464;39.54;33.8;35.2;309.0;44.9633
37666;39.68;33.8;35.2;308.5;44.9632
37867;40.46;33.6;35.0;309.1;44.9632
38066;39.81;33.7;35.0;309.7;44.9631
38267;40.43;33.8;34.9;309.1;44.9630
38468;40.86;33.7;35.1;308.7;44.9630
38666;41.27;33.8;35.4;308.3;44.9629
38867;41.91;33.7;35.5;308.0;44.9628
39068;42.10;33.7;35.7;308.1;44.9628
39268;41.36;33.7;35.6;308.2;44.9627
39468;40.48;33.6;35.8;308.7;44.9626
39668;40.43;33.7;35.5;309.2;44.9626
39868;39.87;33.9;35.2;309.5;44.9625
40070;39.69;34.1;35.5;308.9;44.9625
40271;40.34;34.3;35.1;309.1;44.9624
40470;39.75;34.3;35.2;308.8;44.9623
40671;40.37;34.2;35.0;308.7;44.9623
40870;40.33;34.4;35.3;308.0;44.9622
41070;40.33;34.2;35.3;308.0;44.9621
41272;40.93;34.5;35.1;307.7;44.9621
41472;40.57;34.2;35.0;307.6;44.9620
41672;38.89;34.1;35.2;307.3;44.9619
41873;37.26;33.9;35.4;307.2;44.9619
42075;36.26;33.9;35.2;307.8;44.9618
42274;35.24;34.1;35.1;308.3;44.9617
42507;33.82;34;35.3;308.0;44.9617
43120;32.31;33.9;35.3;307.5;44.9616
43327;31.74;33.7;35.2;306.8;44.9616
43328;30.83;33.6;35.2;306.4;44.9615
43433;30.12;33.6;34.9;306.9;44.9614
43507;29.83;33.6;34.8;307.2;44.9614
43689;29.52;33.7;35.0;307.4;44.9613
43910;31.21;33.6;34.7;307.0;44.9613
44086;31.39;33.8;34.4;306.7;44.9612
44281;32.44;33.8;34.4;306.4;44.9611
44481;33.89;33.8;34.1;306.1;44.9611
44681;34.49;34;34.2;306.5;44.9610
44884;34.57;34.1;34.1;306.7;44.9610
45082;35.47;33.9;34.3;306.7;44.9609
45284;35.94;34;34.3;306.8;44.9608
45485;36.41;33.9;34.4;306.5;44.9608
45681;36.91;34.1;34.3;306.3;44.9607
45883;37.76;33.9;34.3;306.4;44.9606
46420;38.00;33.9;34.0;306.0;44.9606
46420;38.01;33.9;34.2;305.7;44.9605
46502;38.99;34.2;33.9;305.7;44.9604
46684;39.09;34.2;33.8;306.4;44.9604
46903;39.71;34.1;33.8;306.3;44.9603
47084;37.59;34.2;33.6;306.3;44.9603
47284;35.77;34.2;33.9;306.6;44.9602
47485;34.37;34.3;34.3;306.4;44.9601
47685;33.67;34.1;33.9;306.4;44.9600
47885;32.69;34.2;33.8;306.2;44.9600
48085;31.94;34.3;33.9;306.3;44.9599
48287;30.81;34.4;33.7;306.2;44.9598
48485;30.10;34.4;33.8;305.8;44.9598
48689;29.84;34.6;33.7;306.2;44.9597
48890;29.28;34.7;33.9;306.4;44.9597
49087;28.38;34.8;34.3;307.0;44.9596
49287;28.18;34.6;34.4;307.2;44.9595
49487;28.10;34.4;34.4;306.8;44.9595
49688;27.79;34.3;34.1;306.7;44.9594
49892;26.96;34.6;34.2;306.0;44.9594
50089;26.98;34.6;34.1;305.6;44.9593
50291;26.18;34.4;34.3;305.6;44.9592
50491;25.52;34.3;34.4;305.1;44.9592
50688;25.38;34.1;34.3;304.6;44.9591
50890;26.59;33.8;34.6;304.7;44.9590
51095;28.17;33.6;34.8;304.6;44.9590
51345;28.63;33.5;34.9;304.7;44.9589
51490;29.22;33.7;34.5;305.1;44.9589
51691;29.96;33.9;34.6;304.9;44.9588
51891;30.71;34;34.3;304.4;44.9587
52099;31.85;34;34.2;304.4;44.9587
52291;32.16;34;34.3;304.2;44.9586
52493;32.71;33.9;34.5;304.8;44.9585
52693;33.85;33.8;34.4;304.4;44.9585
52923;33.66;33.6;34.5;304.4;44.9584
53092;34.61;33.7;34.9;304.2;44.9583
53293;35.93;33.8;34.5;304.6;44.9583
53718;35.66;33.8;34.1;305.1;44.9582
53825;36.13;33.9;34.1;305.4;44.9581
53898;37.29;34;34.3;305.0;44.9581
54095;37.34;33.9;34.4;304.6;44.9580
54319;37.22;34;34.4;305.0;44.9579
54608;36.78;33.9;34.6;304.4;44.9579
54715;36.74;33.8;35.0;304.3;44.9578
54898;37.64;33.7;34.6;303.8;44.9577
55099;38.41;33.5;34.5;303.8;44.9577
55296;38.15;33.5;34.8;304.2;44.9576
55497;39.08;33.8;35.2;304.4;44.9575
55698;39.92;33.8;34.9;303.9;44.9575
55897;40.63;33.6;34.6;303.9;44.9574
56096;40.42;33.5;34.5;304.3;44.9573
56297;39.68;33.3;34.3;304.4;44.9573
56499;39.64;33.4;34.0;304.2;44.9572
56699;39.88;33.2;33.6;304.1;44.9571
57012;40.51;33.4;33.3;303.8;44.9571
57117;40.91;33.3;33.0;304.4;44.9570
57303;40.67;33.4;33.0;304.9;44.9569
57504;39.93;33.6;32.8;304.8;44.9569
57784;40.61;33.7;32.5;304.8;44.9568
57904;41.00;33.8;32.6;305.2;44.9568
58104;41.28;33.9;32.8;304.5;44.9567
58358;40.76;33.8;33.1;304.8;44.9566
58506;40.48;33.6;33.0;304.5;44.9566
58705;40.67;33.7;32.6;304.3;44.9565
58906;40.13;33.6;32.7;304.4;44.9565
59107;40.34;33.6;32.7;304.2;44.9564
59311;40.88;33.5;33.0;303.5;44.9563
59509;40.36;33.7;32.8;302.9;44.9563
59714;40.16;33.4;33.1;302.9;44.9562
59910;39.96;33.6;33.5;302.2;44.9562
60112;39.52;33.8;33.4;301.8;44.9561
60312;39.05;33.9;33.6;301.2;44.9560
60515;39.90;33.9;33.5;301.7;44.9560
60768;39.49;34.1;33.7;301.7;44.9559
60969;39.30;34.2;34.0;301.7;44.9559
61116;39.73;34;34.3;301.4;44.9558
61320;39.89;34.1;34.2;302.1;44.9558
61519;40.52;33.9;34.4;302.0;44.9557
61718;40.88;34.2;34.4;301.7;44.9557
61919;40.54;34.3;34.3;302.3;44.9556
62119;38.96;34.3;34.3;301.7;44.9555
62578;37.22;34.5;34.5;301.6;44.9555
62684;35.50;34.6;34.7;301.3;44.9554
62757;34.36;34.4;34.9;301.2;44.9554
62921;33.23;34.5;34.6;301.6;44.9553
63122;31.78;34.6;34.3;301.6;44.9553
63479;31.18;34.6;34.7;301.4;44.9552
63584;30.83;34.6;35.0;300.9;44.9551
63724;29.96;34.4;35.2;301.3;44.9551
63925;29.51;34.1;35.4;300.9;44.9550
64279;29.15;34.2;35.6;300.2;44.9550
64388;28.28;34.4;35.2;300.1;44.9549
64527;28.05;34.6;35.1;300.3;44.9549
64726;27.20;34.4;34.8;300.1;44.9548
65204;26.76;34.6;35.1;300.2;44.9547
65277;27.84;34.6;35.1;300.4;44.9547
65350;28.78;34.6;35.1;299.9;44.9546
65526;29.40;34.6;35.0;300.0;44.9546
66454;30.69;34.7;35.2;299.7;44.9545
66490;31.24;34.9;35.6;299.0;44.9545
66491;32.06;34.7;35.4;299.7;44.9544
66491;33.60;34.4;35.4;300.3;44.9544
66526;33.96;34.3;35.1;300.9;44.9543
66730;34.13;34.2;35.1;300.5;44.9543
67241;34.51;34.4;35.4;300.0;44.9542
67347;35.03;34.5;35.4;300.1;44.9541
67519;34.87;34.5;35.2;300.7;44.9541
67551;34.68;34.4;35.0;301.1;44.9540
67865;35.94;34.4;34.7;301.6;44.9540
68172;36.14;34.6;34.8;301.0;44.9539
68245;35.83;34.8;34.6;300.9;44.9539
68334;35.71;35;34.4;300.8;44.9538
68535;36.33;34.8;34.7;300.3;44.9538
68752;36.21;34.8;35.0;300.1;44.9537
68935;36.20;35;34.9;300.7;44.9537
69135;36.43;35.1;34.8;300.3;44.9536
69335;36.74;35;34.5;300.7;44.9536
69538;36.96;35.2;34.8;300.2;44.9535
69735;36.61;35.2;34.6;299.8;44.9534
69936;37.42;35.1;34.3;300.4;44.9534
70153;37.88;34.8;34.2;301.0;44.9533
70337;37.95;35;34.4;300.8;44.9533
70538;38.73;34.8;34.3;300.2;44.9532
70740;39.23;35;34.0;300.8;44.9532
70988;39.65;34.9;33.9;300.4;44.9531
71141;39.75;34.8;33.6;300.5;44.9531
71341;40.36;34.6;34.0;300.1;44.9530
71541;40.71;34.5;34.0;300.5;44.9530
71744;40.98;34.2;34.1;300.0;44.9529
71944;40.37;34.3;34.2;300.5;44.9529
72145;39.82;34.4;34.2;300.8;44.9528
72344;39.29;34.5;33.9;300.9;44.9528
72787;38.89;34.7;34.3;301.1;44.9527
72928;39.25;35;34.0;301.4;44.9526
73002;38.92;34.8;33.8;301.9;44.9526
73147;39.31;34.8;34.0;301.2;44.9525
73350;39.28;34.7;34.3;301.3;44.9525
73763;38.70;34.8;34.2;300.8;44.9524
73835;38.97;34.8;34.5;300.8;44.9524
73952;39.66;34.8;34.3;301.0;44.9523
74151;39.08;34.9;34.6;300.4;44.9523
74423;39.34;35.1;34.4;300.7;44.9522
74751;38.92;35.1;34.2;300.1;44.9521
74824;38.77;35.1;34.5;300.0;44.9521
74951;38.87;34.9;34.6;299.7;44.9520
75150;39.43;35;34.4;299.1;44.9520
75992;38.91;35.1;34.8;299.3;44.9519
75993;38.44;35.2;34.4;299.4;44.9519
76025;38.50;35.1;34.7;299.2;44.9518
76025;38.42;35.2;34.6;299.4;44.9518
76150;38.28;35.2;34.9;299.1;44.9517
76351;38.39;35;34.6;299.4;44.9517
76691;37.81;34.9;34.4;299.1;44.9516
76813;37.84;34.8;34.7;298.6;44.9516
76950;38.11;35.1;34.9;298.2;44.9515
77151;38.61;34.8;35.2;298.0;44.9515
77383;38.48;34.9;35.4;298.7;44.9514
77554;38.53;35;35.1;298.6;44.9514
77752;38.64;35.1;35.2;298.6;44.9513
77953;38.27;35;35.1;299.2;44.9513
78259;38.80;34.9;35.1;298.7;44.9512
78365;38.33;35.1;35.2;298.5;44.9512
78554;38.90;35.2;35.3;298.8;44.9511
78755;39.36;35;35.6;299.1;44.9511
78980;38.91;34.8;35.6;299.0;44.9510
79160;39.06;35;35.4;298.5;44.9509
79362;38.72;34.8;35.5;298.8;44.9509
79558;38.94;34.9;35.8;299.4;44.9508
79818;38.44;35;36.2;298.7;44.9508
79994;38.81;35.1;36.0;299.2;44.9507
80159;39.15;35.3;36.2;299.1;44.9507
80359;39.49;35;35.9;299.0;44.9506
80557;39.83;35.2;36.2;299.6;44.9506
80759;40.34;35.1;36.0;299.8;44.9505
80959;39.60;35.2;36.3;299.5;44.9505
81286;39.56;35.3;36.7;299.0;44.9504
81397;39.45;35.4;36.7;299.2;44.9504
81561;37.85;35.6;36.6;299.0;44.9503
81763;36.84;35.6;36.9;299.7;44.9503
81962;35.48;35.5;36.6;299.7;44.9502
82249;34.45;35.6;36.9;299.2;44.9502
82427;33.45;35.6;37.2;299.1;44.9501
82563;32.58;35.5;37.0;298.6;44.9501
82763;31.72;35.7;36.8;299.2;44.9500
82963;30.35;35.7;37.0;298.7;44.9500
83164;29.48;35.9;37.3;298.8;44.9499
83400;29.09;35.9;37.1;298.7;44.9499
83592;28.84;35.6;37.0;298.5;44.9498
83766;28.33;35.4;37.0;298.0;44.9497
83967;28.20;35.2;37.1;298.6;44.9497
84167;27.70;35.1;37.2;298.5;44.9496
84535;27.19;35.1;37.4;297.9;44.9496
84759;26.34;35.4;37.2;298.5;44.9495
84831;25.56;35.4;37.0;298.1;44.9495
84970;24.90;35.6;37.1;297.9;44.9494
85171;24.95;35.6;37.1;298.5;44.9494
85415;25.76;35.6;37.4;298.5;44.9493
85594;27.65;35.6;37.7;298.2;44.9493
85769;29.30;35.4;37.5;298.1;44.9492
85971;29.69;35.4;37.5;298.1;44.9492
86172;30.89;35.6;37.2;297.6;44.9491
86374;32.12;35.7;37.3;298.0;44.9490
86577;32.24;35.9;37.1;298.6;44.9490
86776;33.45;35.8;36.9;298.3;44.9489
87141;33.62;35.9;36.6;297.6;44.9489
87246;33.47;36.2;36.2;298.1;44.9488
87377;34.04;36.2;36.3;298.3;44.9488
87578;33.87;36.5;36.3;298.1;44.9487
87789;35.21;36.5;36.3;297.9;44.9487
87978;34.91;36.4;36.1;298.4;44.9486
88177;35.91;36.5;36.2;298.6;44.9486
88378;35.65;36.5;36.5;299.3;44.9485
88579;36.61;36.3;36.5;299.5;44.9484
88780;36.38;36.5;36.2;298.9;44.9484
88979;36.43;36.3;35.8;299.3;44.9483
89180;36.99;36.5;36.0;299.7;44.9483
89386;36.89;36.5;35.9;299.3;44.9482
89579;36.92;36.3;36.1;300.0;44.9481
89781;36.62;36.3;35.9;300.1;44.9481
89982;37.71;36.3;35.5;300.4;44.9480
90182;37.22;36.5;35.2;300.3;44.9479
90382;36.87;36.4;34.9;300.4;44.9479
90583;36.98;36.6;34.7;300.9;44.9478
90786;37.11;36.7;34.4;300.6;44.9478
90987;37.87;36.9;34.2;301.2;44.9477
